#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-03-02T03:13:54 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5c79f439a1c9	
#INFO	-out.max=unlimited	
#INFO	queryParameters=38	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_RAJ,_DEJ
#-nav=cat:J/ApJS/239/2&tab:{J/ApJS/239/2/table2}&key:source=J/ApJS/239/2&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJS/239/2/table2
#-order=I
#-out=TICID
#-out=RAJ2000
#-out=DEJ2000
#-out=Obslen
#-out=Vmag
#-out=Kmag
#-out=Jmag
#-out=Tmag
#-out=R*
#-out=Mass
#-out=Teff
#-out=Dist
#-out=sG
#-out=DetC
#-out=Perp
#-out=Rp
#-out=Nt
#-out=Ars
#-out=Ecc
#-out=Rprs
#-out=Impact
#-out=Dur
#-out=Obsdepth
#-out=Insol
#-out=Noise
#-out=SNR
#-out=2M
#2M=2M
#

#RESOURCE=yCat_22390002
#Name: J/ApJS/239/2
#Title: Simulated exoplanets from TESS list of targets (Barclay+, 2018)
#Table	J_ApJS_239_2_table2:
#Name: J/ApJS/239/2/table2
#Title: Planet and host star properties for every detected planet in our simulation
#Column	_RAJ2000	(F14.10)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F14.10)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	TICID	(I9)	[144875/471012687] TESS Input Catalog ID number of star	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F12.8)	Right ascension, decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F13.9)	Declination, decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Obslen	(F5.1)	[27.4/356.2] Number of days that target is observed	[ucd=time.interval]
#Column	Vmag	(F6.3)	[4/20] V-band magnitude	[ucd=phot.mag;em.opt.V]
#Column	Kmag	(F6.3)	[1.7/14.2] 2MASS Ks-band magnitude	[ucd=phot.mag;em.IR.K]
#Column	Jmag	(F6.3)	[2.3/15] 2MASS J-band magnitude	[ucd=phot.mag;em.IR.J]
#Column	Tmag	(F6.3)	[3.4/16.4] TESS bandpass magnitude	[ucd=phot.mag;em.opt.R]
#Column	R*	(F6.3)	[0.1/11.5] Stellar radius	[ucd=phys.size.radius]
#Column	Mass	(F6.3)	[0.06/2.5] Stellar mass	[ucd=phys.mass]
#Column	Teff	(F7.1)	[2763/11565] Stellar effective temperature	[ucd=phys.temperature]
#Column	Dist	(F9.3)	[2.5/15349]? Distance of the star	[ucd=pos.distance;pos.heliocentric]
#Column	sG	(I1)	[0/1] Was this star randomly selected to be a subgiant? 1=yes; 0=no	[ucd=meta.code]
#Column	DetC	(I1)	[0/1] Was this planet detected using the conservative model? 1=yes; 0=no	[ucd=meta.code]
#Column	Perp	(F9.6)	[0.5/99.4] Orbital period of the planet	[ucd=time.period]
#Column	Rp	(F6.3)	[0.6/22] Radius of the planet	[ucd=phys.size.radius]
#Column	Nt	(I3)	[2/425] Number of transits the planet has	[ucd=meta.number]
#Column	Ars	(F7.3)	[1/243.5] Planet semimajor axis scaled by the stellar radius	[ucd=phys.angSize.smajAxis]
#Column	Ecc	(F9.6)	[9e-06/0.5] Planet orbital eccentricity	[ucd=src.orbital.eccentricity]
#Column	Rprs	(F9.6)	[0.005/0.4] Planet radius scaled by the stellar radius	[ucd=phys.size.radius]
#Column	Impact	(F6.3)	[0/1] Planet impact parameter	[ucd=src.impactParam]
#Column	Dur	(F6.3)	[0.3/37.934] Planet transit duration	[ucd=time.duration]
#Column	Obsdepth	(F9.3)	[25.6/92074] The observed transit depth, corrected for dilution in parts per million	[ucd=src.var.amplitude]
#Column	Insol	(F10.3)	[0.06/242177] Insolation flux the planet receives relative to that received by the Earth from the Sun	[ucd=phot.flux;arith.ratio]
#Column	Noise	(F9.3)	[60/18605] The one-hour integrated noise level of the star in parts per million	[ucd=instr.det.noise]
#Column	SNR	(F8.3)	[7/1542] Combined signal-to-noise ratio of all transits	[ucd=stat.snr]
#Column	2M	(A2)	Display the 2MASS data (Cutri et al. 2003, Cat. II/246)	[ucd=meta.ref.url]
_RAJ2000|_DEJ2000|TICID|RAJ2000|DEJ2000|Obslen|Vmag|Kmag|Jmag|Tmag|R*|Mass|Teff|Dist|sG|DetC|Perp|Rp|Nt|Ars|Ecc|Rprs|Impact|Dur|Obsdepth|Insol|Noise|SNR|2M
deg|deg| |deg|deg|d|mag|mag|mag|mag|Rsun|Msun|K|pc| | |d|Rgeo| | | | | |h|10-6| |10-6| |
--------------|--------------|---------|------------|-------------|-----|------|------|------|------|------|------|-------|---------|-|-|---------|------|---|-------|---------|---------|------|------|---------|----------|---------|--------|--
010.6825200000|-07.7893250000|  3886296|010.68252000|-07.789325000| 27.4|15.464|11.663|12.535|13.751| 0.561| 0.608| 3842.0|         |0|1| 8.903368| 5.895|  3| 27.309| 0.051892| 0.096207| 0.336| 2.599| 9206.182|    12.187| 2136.665|  12.032|2M
011.4122000000|-09.9060030000|  3898497|011.41220000|-09.906003000| 27.4|13.362|10.053|10.849|11.862| 1.342| 0.647| 4134.0|         |1|1| 2.200244|13.598| 13|  4.590| 0.016195| 0.092756| 0.715| 3.083| 8519.908|   578.391|  568.632|  94.860|2M
012.5272700000|-06.7470380000|  3958932|012.52727000|-06.747038000| 27.4|13.226|10.978|11.487|12.180| 0.867| 0.841| 5046.0|         |0|0|11.822694|10.716|  2| 23.783| 0.126516| 0.113124| 0.096| 4.213|12720.188|    47.811|  696.823|  52.988|2M
006.9898760000|-11.8787300000| 40081742|006.98987600|-11.878730000| 27.4|12.994|10.888|11.394|12.097| 0.860| 0.834| 5021.0|         |0|1| 6.995948|12.565|  4| 16.862| 0.043151| 0.133794| 0.327| 3.444|17900.780|    93.242|  660.291| 100.628|2M
028.6228100000|+64.7931600000| 10506521|028.62281000|+64.793160000| 54.8| 8.795| 7.404| 7.722| 8.235| 1.079| 1.426| 6710.0|   72.632|0|1| 3.759818| 4.035| 15| 10.619| 0.104542| 0.034235| 0.636| 2.214| 1155.222|   749.927|   98.460|  67.619|2M
007.3070120000|-43.1290100000| 80260761|007.30701200|-43.129010000| 27.4|11.989| 9.923|10.319|10.954| 0.931| 0.851| 5478.3|  214.754|0|0|13.667017| 3.001|  2| 24.500| 0.029763| 0.029517| 0.375| 4.087|  857.365|    62.591|  332.482|   7.373|2M
007.6128320000|-46.1843700000| 80262344|007.61283200|-46.184370000| 27.4|13.468| 8.893| 9.720|11.060| 0.400| 0.416| 3522.0|         |0|0|10.768502| 2.289|  2| 38.313| 0.046029| 0.052394| 0.693| 1.701| 2731.959|     4.373|  352.834|  14.283|2M
019.8664000000|-27.5662300000| 11568274|019.86640000|-27.566230000| 27.4|10.599| 9.579| 9.806|10.219| 1.486| 1.338| 6515.0|         |0|1| 3.048570| 6.531|  9|  6.566| 0.020392| 0.040247| 0.541| 3.172| 1463.850|  1743.165|  225.250|  34.721|2M
019.9661100000|-28.8085200000| 11569594|019.96611000|-28.808520000| 27.4|11.290| 9.441| 9.935|10.619| 1.737| 0.926| 5354.0|  134.478|1|1| 4.128944| 5.202|  7|  6.079| 0.156609| 0.027416| 0.773| 3.562|  722.412|   927.433|  277.062|  13.021|2M
022.2440000000|-28.2453300000| 11652749|022.24400000|-28.245330000| 27.4|12.002|10.549|10.857|11.359| 2.660| 1.060| 5863.0|  362.723|1|1| 6.365992|15.370|  4|  5.543| 0.279869| 0.052897| 0.057| 9.282| 2748.884|  1604.283|  419.104|  39.966|2M
000.9241869000|-28.3967900000| 12359292|000.92418690|-28.396790000| 27.4| 8.240| 6.554| 6.970| 7.577| 0.963| 0.977| 5545.7|   40.315|0|1| 3.116077| 1.697|  9|  9.256| 0.004846| 0.016133| 0.812| 1.578|  259.703|   460.527|   82.262|  11.897|2M
003.0876760000|-29.0031500000| 12469646|003.08767600|-29.003150000| 27.4|11.922|10.355|10.726|11.298| 1.032| 1.015| 5698.0|  253.053|0|0|16.271177| 7.809|  2| 26.327| 0.026364| 0.069286| 0.292| 4.858| 4781.012|    63.438|  404.420|  36.850|2M
027.4031500000|+32.2205100000| 20961824|027.40315000|+32.220510000| 27.4|11.809|10.286|10.685|11.315| 1.074| 1.018| 5711.0|  256.207|0|0|10.498793| 3.508|  3| 18.906| 0.203103| 0.029904| 0.009| 4.371|  886.758|   124.139|  408.448|   7.862|2M
022.1129200000|-37.2922600000| 41955544|022.11292000|-37.292260000| 54.8|10.076| 8.724| 9.028| 9.495| 1.569| 1.113| 6016.0|  187.490|0|1|13.728803| 3.953|  4| 15.938| 0.007441| 0.023063| 0.057| 6.726|  531.616|   215.096|  159.692|  17.268|2M
023.9354600000|-38.4888100000| 42013257|023.93546000|-38.488810000| 54.8|11.519| 9.674|10.200|10.895| 0.954| 0.912| 5304.0|         |0|0|21.388514| 6.501|  2| 32.986| 0.006730| 0.062405| 0.431| 4.811| 3892.342|    30.341|  321.783|  37.522|2M
010.1269200000|-27.2771700000| 43373841|010.12692000|-27.277170000| 27.4| 8.794| 7.150| 7.541| 8.124| 0.857| 0.987| 5660.7|   49.117|0|1| 8.263569| 2.723|  3| 19.987| 0.289618| 0.029081| 0.808| 2.019|  845.620|   107.217|   95.159|  21.869|2M
